அறம் ஒரு கருவி   	அரம் ஒரு கருவி   
அரம் என்றால் தருமம் 	அறம் என்றால் தருமம் 
புடலையை அறி	புடலையை அரி
அரிதல் என்றால் தெரிந்து கொள்ளுதல் 	அறிதல் என்றால் தெரிந்து கொள்ளுதல் 
அறுகு என்றால் அண்மை 	அருகு என்றால் அண்மை 
அருகு என்றால் அறுகம்புல் 	அறுகு என்றால் அறுகம்புல் 
அறை என்பதன் பொருள் பாதி	அரை என்பதன் பொருள் பாதி
எந்த அரையில் தங்கினாய்?	எந்த அறையில் தங்கினாய்?
இறத்தல் என்றால் பிச்சை எடுத்தல் 	இரத்தல் என்றால் பிச்சை எடுத்தல் 
இரத்தல் என்றால் சாதல் 	இறத்தல் என்றால் சாதல் 
உறவு என்றால் வலிமை 	உரவு என்றால் வலிமை 
உரவின்முறை 	உறவின்முறை 
தோலை உறி	தோலை உரி
கட்டித் தொங்க விடும் உரி 	கட்டித் தொங்க விடும் உறி
உறிஞ்சல் என்றால் உராய்தல் 	உரிஞ்சல் என்றால் உராய்தல் 
உரிஞ்சல் என்றால் உறிஞ்சிக் குடித்தல் 	உறிஞ்சல் என்றால் உறிஞ்சிக் குடித்தல் 
உறை என்றால் சொல்	உரை என்றால் சொல்
தலையணை உரை 	தலையணை உறை 
எறி என்றால் கொளுத்து 	எரி என்றால் கொளுத்து 
எரி என்றால் தூக்கி வீசு 	எறி என்றால் தூக்கி வீசு 
கற என்றால் மறை 	கர என்றால் மறை 
பால் கர 	பால் கற 
குளத்தின் கறை 	குளத்தின் கரை 
துணியில் கரை உள்ளது 	துணியில் கறை உள்ளது 
குறங்கு தாவியது 	குரங்கு தாவியது 
குரங்கு என்றால் தொடை 	குறங்கு என்றால் தொடை 
குறவை ஒரு வகைக் கூத்து 	குரவை ஒரு வகைக் கூத்து 
குரவை ஒரு வகை மீன் 	குறவை ஒரு வகை மீன் 
நாய் குறைத்தது 	நாய் குரைத்தது 
எடை குரைந்தது 	எடை குறைந்தது 
வீட்டின் கூறை	வீட்டின் கூரை 
கூரை என்றால் துணி 	கூறை என்றால் துணி 
செறித்தல் என்றால் செரிமானம் ஆதல் 	செரித்தல் என்றால் செரிமானம் ஆதல் 
செரித்தல் என்றால் திணித்தல் 	செறித்தல் என்றால் திணித்தல் 
பூச்சொறி	பூச்சொரி
காலைச் சொரியாதே!  	காலைச் சொறியாதே!  
திறை என்றால் அலை 	திரை என்றால் அலை 
திரை என்றால் வரி 	திறை என்றால் வரி 
தலைமுடி நறைத்தது 	தலைமுடி நரைத்தது 
நரை என்றால் தேன் 	நறை என்றால் தேன் 
நிறை என்றால் வரிசை 	நிரை என்றால் வரிசை 
பானையை நீரால் நிரைத்து விடு	பானையை நீரால் நிறைத்து விடு
பறவை என்றால் கடல் 	பரவை என்றால் கடல் 
குயில் ஒரு பரவை 	குயில் ஒரு பறவை 
பறி என்றால் குதிரை 	பரி என்றால் குதிரை 
பரித்தல் என்றால் பிடுங்கிக் கொள்ளுதல் 	பறித்தல் என்றால் பிடுங்கிக் கொள்ளுதல் 
கடப்பாறை எடு 	கடப்பாரை எடு 
பாரை மேல் அமர்ந்தான் 	பாறை மேல் அமர்ந்தான் 
பிரை நிலா 	பிறை நிலா 
பிறை என்றால் உறைமோர் 	பிரை என்றால் உறைமோர் 
சோளப் பொறி 	சோளப் பொரி 
பொரி என்றால் இயந்திரம் 	பொறி என்றால் இயந்திரம் 
காசைப் பொருக்கினான் 	காசைப் பொறுக்கினான் 
பொறுக்கு என்றால் பருக்கை 	பொருக்கு என்றால் பருக்கை 
மரம் என்றால் வீரம் 	மறம் என்றால் வீரம் 
மரம் என்றால் பாவம்  	மறம் என்றால் பாவம்  
பனை மறம்  	பனை மரம்  
மறி என்றால் சாகாமை 	மரி என்றால் சாகாமை 
சாலை மரியல் 	சாலை மறியல் 
மறை என்றால் மான் 	மரை என்றால் மான் 
உண்மையை மரைத்தான் 	உண்மையை மறைத்தான் 
முறுக்கு ஒரு மரம் 	முருக்கு ஒரு மரம் 
மீசையை முருக்கு 	மீசையை முறுக்கு 
விறகு என்றால் தந்திரம் 	விரகு என்றால் தந்திரம் 
விரகுக் கட்டை 	விறகுக் கட்டை 
விரல் என்றால் வெற்றி என்று பொருள் 	விறல் என்றால் வெற்றி என்று பொருள் 
கையில் விறல்கள் உள்ளன 	கையில் விரல்கள் உள்ளன 
அழகு என்பது அளவு 	அலகு என்பது அளவு 
அளகு என்பது அளவு 	அலகு என்பது அளவு 
அலகு ஒரு பறவை 	அளகு ஒரு பறவை 
அழகு ஒரு பறவை 	அளகு ஒரு பறவை 
வானவில் அலகாக இருந்தது 	வானவில் அழகாக இருந்தது 
வானவில் அளகாக இருந்தது 	வானவில் அழகாக இருந்தது 
பரிசு அலித்தான் 	பரிசு அளித்தான் 
பரிசு அழித்தான் 	பரிசு அளித்தான் 
கொன்று அலித்தான் 	கொன்று அழித்தான் 
கொன்று அளித்தான் 	கொன்று அழித்தான் 
முகமது அழி 	முகமது அலி 
முகமது அளி 	முகமது அலி 
அளைகடல் 	அலைகடல் 
அழைகடல் 	அலைகடல் 
தொலைபேசியில் அளைத்தான் 	தொலைபேசியில் அழைத்தான் 
